phase,architecture,dofs,n_sensors,agg_mse,agg_mae,localisation_acc,mse_support_2,mse_support_3
MD0_Pair_RearBogie_Vert__CarBody_Pitch,PAA_NHiTS,RearBogie_Vert+CarBody_Pitch,2,0.757,0.6722,0.9898,0.7247,0.7894
MD0_SingleDOF_RearBogie_Vert,PAA_NHiTS,RearBogie_Vert,1,0.8595,0.7025,0.982,0.8357,0.8833
MD0_SingleDOF_FrontBogie_Vert,PAA_S2V_NHiTS,FrontBogie_Vert,1,0.9606,0.7341,0.9773,1.1879,0.7333
MD0_SingleDOF_RearBogie_Vert,PAA_LSTM_NHiTS,RearBogie_Vert,1,1.1878,0.8266,0.9789,1.0793,1.2963
MD0_SingleDOF_FrontBogie_Vert,PAA_LSTM_NHiTS,FrontBogie_Vert,1,1.1984,0.8194,0.9753,1.4695,0.9274
MD0_Pair_RearBogie_Vert__CarBody_Pitch,PAA_S2V_NHiTS,RearBogie_Vert+CarBody_Pitch,2,1.2804,0.8631,0.9906,1.2172,1.3437
MD0_SingleDOF_CarBody_Pitch,PAA_NHiTS,CarBody_Pitch,1,1.4275,0.9202,0.9824,1.2691,1.586
MD0_SingleDOF_RearBogie_Vert,PAA_S2V_NHiTS,RearBogie_Vert,1,1.4549,0.9215,0.9777,1.4007,1.5091
MD0_SingleDOF_FrontBogie_Vert,PAA_NHiTS,FrontBogie_Vert,1,1.5015,0.9114,0.9792,1.8928,1.1102
MD0_SingleDOF_CarBody_Pitch,PAA_LSTM_NHiTS,CarBody_Pitch,1,1.6892,1.0024,0.9718,1.5702,1.8083
MD0_SingleDOF_CarBody_Pitch,PAA_S2V_NHiTS,CarBody_Pitch,1,1.8775,1.0452,0.9812,1.7012,2.0539
MD0_Pair_RearBogie_Vert__CarBody_Pitch,PAA_LSTM_NHiTS,RearBogie_Vert+CarBody_Pitch,2,1.9511,1.1016,0.9816,1.9117,1.9904
MD0_SingleDOF_CarBody_Vert,PAA_LSTM_NHiTS,CarBody_Vert,1,3.3421,1.3976,0.9726,2.9939,3.6902
MD0_SingleDOF_CarBody_Vert,PAA_S2V_NHiTS,CarBody_Vert,1,3.5363,1.4413,0.9742,3.634,3.4387
MD0_SingleDOF_CarBody_Vert,PAA_NHiTS,CarBody_Vert,1,4.3236,1.589,0.971,3.7515,4.8956
MD0_SingleDOF_Wheel1_Vert,PAA_LSTM_NHiTS,Wheel1_Vert,1,5.4901,1.7675,0.9491,7.2023,3.7779
MD0_SingleDOF_Wheel1_Vert,PAA_S2V_NHiTS,Wheel1_Vert,1,5.765,1.8258,0.9534,7.4417,4.0884
MD0_SingleDOF_Wheel2_Vert,PAA_S2V_NHiTS,Wheel2_Vert,1,5.7867,1.808,0.9558,7.9798,3.5936
MD0_SingleDOF_Wheel2_Vert,PAA_LSTM_NHiTS,Wheel2_Vert,1,5.8886,1.7933,0.9534,7.8315,3.9457
MD0_SingleDOF_Wheel1_Vert,PAA_NHiTS,Wheel1_Vert,1,6.0284,1.8584,0.9503,7.9397,4.1171
MD0_SingleDOF_Wheel2_Vert,PAA_NHiTS,Wheel2_Vert,1,6.141,1.8627,0.9581,8.1474,4.1346
MD0_SingleDOF_RearBogie_Pitch,PAA_LSTM_NHiTS,RearBogie_Pitch,1,15.5923,2.9016,0.9432,5.763,25.4215
MD0_SingleDOF_RearBogie_Pitch,PAA_NHiTS,RearBogie_Pitch,1,18.0524,3.2097,0.9432,7.2376,28.8671
MD0_SingleDOF_FrontBogie_Pitch,PAA_LSTM_NHiTS,FrontBogie_Pitch,1,22.597,3.7205,0.9362,14.5763,30.6178
MD0_SingleDOF_FrontBogie_Pitch,PAA_NHiTS,FrontBogie_Pitch,1,24.9906,3.9085,0.9303,16.9012,33.08
MD0_SingleDOF_RearBogie_Pitch,PAA_S2V_NHiTS,RearBogie_Pitch,1,27.2652,4.0687,0.9338,13.3787,41.1517
MD0_SingleDOF_FrontBogie_Pitch,PAA_S2V_NHiTS,FrontBogie_Pitch,1,37.4444,4.8948,0.9236,28.3338,46.5549
